 lamda  B B_N
  1.00000E-02  0.00000E+00  0.00000E+00
  2.00000E-02  0.00000E+00  0.00000E+00
  3.00000E-02  9.65182E-14  3.02710E-27
  4.00000E-02  1.08729E-05  3.41008E-19
  5.00000E-02  5.72343E-01  1.79504E-14
  6.00000E-02  6.79710E+02  2.13177E-11
  7.00000E-02  9.47482E+04  2.97159E-09
  8.00000E-02  3.51436E+06  1.10221E-07
  9.00000E-02  5.44698E+07  1.70833E-06
  1.00000E-01  4.61557E+08  1.44758E-05
  1.10000E-01  2.53386E+09  7.94693E-05
  1.20000E-01  1.00834E+10  3.16245E-04
  1.30000E-01  3.14205E+10  9.85440E-04
  1.40000E-01  8.09772E+10  2.53969E-03
  1.50000E-01  1.79615E+11  5.63326E-03
  1.60000E-01  3.53200E+11  1.10774E-02
  1.70000E-01  6.29738E+11  1.97505E-02
  1.80000E-01  1.03584E+12  3.24872E-02
  1.90000E-01  1.59340E+12  4.99739E-02
  2.00000E-01  2.31706E+12  7.26700E-02
  2.10000E-01  3.21286E+12  1.00765E-01
  2.20000E-01  4.27799E+12  1.34171E-01
  2.30000E-01  5.50154E+12  1.72545E-01
  2.40000E-01  6.86582E+12  2.15333E-01
  2.50000E-01  8.34809E+12  2.61821E-01
  2.60000E-01  9.92233E+12  3.11194E-01
  2.70000E-01  1.15610E+13  3.62587E-01
  2.80000E-01  1.32363E+13  4.15130E-01
  2.90000E-01  1.49217E+13  4.67989E-01
  3.00000E-01  1.65925E+13  5.20391E-01
  3.10000E-01  1.82267E+13  5.71642E-01
  3.20000E-01  1.98050E+13  6.21144E-01
  3.30000E-01  2.13114E+13  6.68390E-01
  3.40000E-01  2.27330E+13  7.12974E-01
  3.50000E-01  2.40596E+13  7.54580E-01
  3.60000E-01  2.52840E+13  7.92981E-01
  3.70000E-01  2.64013E+13  8.28023E-01
  3.80000E-01  2.74089E+13  8.59625E-01
  3.90000E-01  2.83061E+13  8.87765E-01
  4.00000E-01  2.90938E+13  9.12467E-01
  4.10000E-01  2.97740E+13  9.33803E-01
  4.20000E-01  3.03502E+13  9.51872E-01
  4.30000E-01  3.08263E+13  9.66805E-01
  4.40000E-01  3.12071E+13  9.78749E-01
  4.50000E-01  3.14978E+13  9.87866E-01
  4.60000E-01  3.17039E+13  9.94329E-01
  4.70000E-01  3.18310E+13  9.98314E-01
  4.80000E-01  3.18847E+13  1.00000E+00
  4.90000E-01  3.18709E+13  9.99566E-01
  5.00000E-01  3.17950E+13  9.97186E-01
  5.10000E-01  3.16625E+13  9.93031E-01
  5.20000E-01  3.14787E+13  9.87265E-01
  5.30000E-01  3.12485E+13  9.80046E-01
  5.40000E-01  3.09767E+13  9.71522E-01
  5.50000E-01  3.06678E+13  9.61835E-01
  5.60000E-01  3.03261E+13  9.51117E-01
  5.70000E-01  2.99554E+13  9.39492E-01
  5.80000E-01  2.95596E+13  9.27076E-01
  5.90000E-01  2.91419E+13  9.13976E-01
  6.00000E-01  2.87055E+13  9.00291E-01
  6.10000E-01  2.82534E+13  8.86111E-01
  6.20000E-01  2.77882E+13  8.71522E-01
  6.30000E-01  2.73125E+13  8.56600E-01
  6.40000E-01  2.68282E+13  8.41414E-01
  6.50000E-01  2.63376E+13  8.26027E-01
  6.60000E-01  2.58425E+13  8.10498E-01
  6.70000E-01  2.53445E+13  7.94879E-01
  6.80000E-01  2.48451E+13  7.79216E-01
  6.90000E-01  2.43456E+13  7.63552E-01
  7.00000E-01  2.38473E+13  7.47923E-01
  7.10000E-01  2.33512E+13  7.32365E-01
  7.20000E-01  2.28583E+13  7.16906E-01
  7.30000E-01  2.23695E+13  7.01573E-01
  7.40000E-01  2.18853E+13  6.86389E-01
  7.50000E-01  2.14066E+13  6.71374E-01
  7.60000E-01  2.09338E+13  6.56547E-01
  7.70000E-01  2.04675E+13  6.41921E-01
  7.80000E-01  2.00080E+13  6.27511E-01
  7.90000E-01  1.95558E+13  6.13327E-01
  8.00000E-01  1.91110E+13  5.99378E-01
  8.10000E-01  1.86740E+13  5.85672E-01
  8.20000E-01  1.82449E+13  5.72215E-01
  8.30000E-01  1.78239E+13  5.59012E-01
  8.40000E-01  1.74112E+13  5.46066E-01
  8.50000E-01  1.70067E+13  5.33380E-01
  8.60000E-01  1.66105E+13  5.20956E-01
  8.70000E-01  1.62227E+13  5.08793E-01
  8.80000E-01  1.58433E+13  4.96892E-01
  8.90000E-01  1.54721E+13  4.85253E-01
  9.00000E-01  1.51093E+13  4.73873E-01
  9.10000E-01  1.47547E+13  4.62751E-01
  9.20000E-01  1.44082E+13  4.51885E-01
  9.30000E-01  1.40698E+13  4.41272E-01
  9.40000E-01  1.37394E+13  4.30909E-01
  9.50000E-01  1.34168E+13  4.20792E-01
  9.60000E-01  1.31020E+13  4.10918E-01
  9.70000E-01  1.27948E+13  4.01283E-01
  9.80000E-01  1.24951E+13  3.91883E-01
  9.90000E-01  1.22027E+13  3.82713E-01
  1.00000E+00  1.19176E+13  3.73770E-01
  1.01000E+00  1.16395E+13  3.65050E-01
  1.02000E+00  1.13684E+13  3.56546E-01
  1.03000E+00  1.11040E+13  3.48256E-01
  1.04000E+00  1.08463E+13  3.40174E-01
  1.05000E+00  1.05952E+13  3.32296E-01
  1.06000E+00  1.03503E+13  3.24617E-01
  1.07000E+00  1.01117E+13  3.17134E-01
  1.08000E+00  9.87917E+12  3.09840E-01
  1.09000E+00  9.65253E+12  3.02732E-01
  1.10000E+00  9.43168E+12  2.95806E-01
  1.11000E+00  9.21646E+12  2.89056E-01
  1.12000E+00  9.00675E+12  2.82478E-01
  1.13000E+00  8.80239E+12  2.76069E-01
  1.14000E+00  8.60326E+12  2.69824E-01
  1.15000E+00  8.40923E+12  2.63739E-01
  1.16000E+00  8.22016E+12  2.57809E-01
  1.17000E+00  8.03592E+12  2.52030E-01
  1.18000E+00  7.85639E+12  2.46400E-01
  1.19000E+00  7.68144E+12  2.40913E-01
  1.20000E+00  7.51097E+12  2.35566E-01
  1.21000E+00  7.34483E+12  2.30356E-01
  1.22000E+00  7.18292E+12  2.25278E-01
  1.23000E+00  7.02513E+12  2.20329E-01
  1.24000E+00  6.87135E+12  2.15506E-01
  1.25000E+00  6.72147E+12  2.10805E-01
  1.26000E+00  6.57538E+12  2.06224E-01
  1.27000E+00  6.43298E+12  2.01757E-01
  1.28000E+00  6.29417E+12  1.97404E-01
  1.29000E+00  6.15886E+12  1.93160E-01
  1.30000E+00  6.02695E+12  1.89023E-01
  1.31000E+00  5.89834E+12  1.84989E-01
  1.32000E+00  5.77295E+12  1.81057E-01
  1.33000E+00  5.65068E+12  1.77222E-01
  1.34000E+00  5.53146E+12  1.73483E-01
  1.35000E+00  5.41520E+12  1.69837E-01
  1.36000E+00  5.30182E+12  1.66281E-01
  1.37000E+00  5.19124E+12  1.62813E-01
  1.38000E+00  5.08338E+12  1.59430E-01
  1.39000E+00  4.97818E+12  1.56131E-01
  1.40000E+00  4.87555E+12  1.52912E-01
  1.41000E+00  4.77543E+12  1.49772E-01
  1.42000E+00  4.67775E+12  1.46708E-01
  1.43000E+00  4.58244E+12  1.43719E-01
  1.44000E+00  4.48944E+12  1.40802E-01
  1.45000E+00  4.39869E+12  1.37956E-01
  1.46000E+00  4.31012E+12  1.35178E-01
  1.47000E+00  4.22368E+12  1.32467E-01
  1.48000E+00  4.13931E+12  1.29821E-01
  1.49000E+00  4.05695E+12  1.27238E-01
  1.50000E+00  3.97655E+12  1.24716E-01
  1.51000E+00  3.89805E+12  1.22255E-01
  1.52000E+00  3.82141E+12  1.19851E-01
  1.53000E+00  3.74658E+12  1.17504E-01
  1.54000E+00  3.67350E+12  1.15212E-01
  1.55000E+00  3.60213E+12  1.12974E-01
  1.56000E+00  3.53243E+12  1.10788E-01
  1.57000E+00  3.46435E+12  1.08652E-01
  1.58000E+00  3.39784E+12  1.06566E-01
  1.59000E+00  3.33287E+12  1.04529E-01
  1.60000E+00  3.26940E+12  1.02538E-01
  1.61000E+00  3.20738E+12  1.00593E-01
  1.62000E+00  3.14678E+12  9.86925E-02
  1.63000E+00  3.08756E+12  9.68352E-02
  1.64000E+00  3.02969E+12  9.50201E-02
  1.65000E+00  2.97312E+12  9.32460E-02
  1.66000E+00  2.91783E+12  9.15120E-02
  1.67000E+00  2.86379E+12  8.98169E-02
  1.68000E+00  2.81095E+12  8.81598E-02
  1.69000E+00  2.75929E+12  8.65397E-02
  1.70000E+00  2.70879E+12  8.49556E-02
  1.71000E+00  2.65940E+12  8.34066E-02
  1.72000E+00  2.61110E+12  8.18918E-02
  1.73000E+00  2.56386E+12  8.04104E-02
  1.74000E+00  2.51766E+12  7.89615E-02
  1.75000E+00  2.47248E+12  7.75442E-02
  1.76000E+00  2.42827E+12  7.61578E-02
  1.77000E+00  2.38503E+12  7.48015E-02
  1.78000E+00  2.34272E+12  7.34745E-02
  1.79000E+00  2.30132E+12  7.21762E-02
  1.80000E+00  2.26081E+12  7.09057E-02
  1.81000E+00  2.22117E+12  6.96624E-02
  1.82000E+00  2.18237E+12  6.84456E-02
  1.83000E+00  2.14440E+12  6.72547E-02
  1.84000E+00  2.10723E+12  6.60890E-02
  1.85000E+00  2.07085E+12  6.49479E-02
  1.86000E+00  2.03523E+12  6.38308E-02
  1.87000E+00  2.00036E+12  6.27371E-02
  1.88000E+00  1.96621E+12  6.16663E-02
  1.89000E+00  1.93278E+12  6.06177E-02
  1.90000E+00  1.90004E+12  5.95909E-02
  1.91000E+00  1.86798E+12  5.85853E-02
  1.92000E+00  1.83657E+12  5.76004E-02
  1.93000E+00  1.80581E+12  5.66357E-02
  1.94000E+00  1.77568E+12  5.56908E-02
  1.95000E+00  1.74617E+12  5.47650E-02
  1.96000E+00  1.71725E+12  5.38581E-02
  1.97000E+00  1.68892E+12  5.29696E-02
  1.98000E+00  1.66116E+12  5.20989E-02
  1.99000E+00  1.63396E+12  5.12458E-02
  2.00000E+00  1.60730E+12  5.04097E-02
  2.01000E+00  1.58117E+12  4.95904E-02
  2.02000E+00  1.55557E+12  4.87873E-02
  2.03000E+00  1.53047E+12  4.80001E-02
  2.04000E+00  1.50587E+12  4.72285E-02
  2.05000E+00  1.48175E+12  4.64721E-02
  2.06000E+00  1.45810E+12  4.57305E-02
  2.07000E+00  1.43492E+12  4.50034E-02
  2.08000E+00  1.41219E+12  4.42905E-02
  2.09000E+00  1.38990E+12  4.35914E-02
  2.10000E+00  1.36804E+12  4.29058E-02
  2.11000E+00  1.34660E+12  4.22335E-02
  2.12000E+00  1.32558E+12  4.15740E-02
  2.13000E+00  1.30495E+12  4.09272E-02
  2.14000E+00  1.28472E+12  4.02928E-02
  2.15000E+00  1.26488E+12  3.96704E-02
  2.16000E+00  1.24541E+12  3.90598E-02
  2.17000E+00  1.22631E+12  3.84607E-02
  2.18000E+00  1.20757E+12  3.78729E-02
  2.19000E+00  1.18918E+12  3.72962E-02
  2.20000E+00  1.17113E+12  3.67302E-02
  2.21000E+00  1.15342E+12  3.61748E-02
  2.22000E+00  1.13604E+12  3.56297E-02
  2.23000E+00  1.11898E+12  3.50947E-02
  2.24000E+00  1.10224E+12  3.45696E-02
  2.25000E+00  1.08581E+12  3.40541E-02
  2.26000E+00  1.06967E+12  3.35481E-02
  2.27000E+00  1.05383E+12  3.30513E-02
  2.28000E+00  1.03828E+12  3.25635E-02
  2.29000E+00  1.02301E+12  3.20847E-02
  2.30000E+00  1.00802E+12  3.16144E-02
  2.31000E+00  9.93295E+11  3.11527E-02
  2.32000E+00  9.78837E+11  3.06992E-02
  2.33000E+00  9.64638E+11  3.02539E-02
  2.34000E+00  9.50692E+11  2.98165E-02
  2.35000E+00  9.36995E+11  2.93869E-02
  2.36000E+00  9.23540E+11  2.89650E-02
  2.37000E+00  9.10324E+11  2.85505E-02
  2.38000E+00  8.97340E+11  2.81433E-02
  2.39000E+00  8.84584E+11  2.77432E-02
  2.40000E+00  8.72052E+11  2.73502E-02
  2.41000E+00  8.59739E+11  2.69640E-02
  2.42000E+00  8.47639E+11  2.65845E-02
  2.43000E+00  8.35750E+11  2.62116E-02
  2.44000E+00  8.24065E+11  2.58451E-02
  2.45000E+00  8.12583E+11  2.54850E-02
  2.46000E+00  8.01297E+11  2.51311E-02
  2.47000E+00  7.90205E+11  2.47832E-02
  2.48000E+00  7.79302E+11  2.44412E-02
