Year	GHG	solar+vol	GHG+Aer
1850.0	0.14000	0.13300	0.14000
1851.0	0.14000	0.13300	0.14000
1852.0	0.14000	0.12600	0.14000
1853.0	0.15000	0.10500	0.15000
1854.0	0.15000	-0.47600	0.15000
1855.0	0.15000	0.070000	0.15000
1856.0	0.16000	0.070000	0.16000
1857.0	0.16000	0.091000	0.16000
1858.0	0.16000	0.11900	0.16000
1859.0	0.17000	0.16100	0.17000
1860.0	0.17000	0.16800	0.17000
1861.0	0.17000	0.15400	0.17000
1862.0	0.18000	0.13300	0.18000
1863.0	0.18000	0.12600	0.18000
1864.0	0.19000	0.11900	0.19000
1865.0	0.19000	0.098000	0.19000
1866.0	0.19000	0.091000	0.19000
1867.0	0.20000	0.084000	0.20000
1868.0	0.20000	0.10500	0.20000
1869.0	0.21000	0.14000	0.21000
1870.0	0.21000	0.18200	0.21000
1871.0	0.21000	0.16800	0.21000
1872.0	0.22000	0.16100	0.22000
1873.0	0.22000	0.12600	0.22000
1874.0	0.23000	0.098000	0.23000
1875.0	0.23000	0.070000	0.23000
1876.0	0.24000	0.063000	0.24000
1877.0	0.25000	0.056000	0.25000
1878.0	0.25000	0.042000	0.25000
1879.0	0.26000	0.042000	0.26000
1880.0	0.27000	0.056000	0.27000
1881.0	0.28000	0.084000	0.28000
1882.0	0.29000	0.070000	0.29000
1883.0	0.30000	-2.5410	0.30000
1884.0	0.31000	-0.91700	0.31000
1885.0	0.32000	0.056000	0.32000
1886.0	0.33000	0.042000	0.33000
1887.0	0.34000	0.035000	0.34000
1888.0	0.35000	0.035000	0.35000
1889.0	0.35000	0.035000	0.35000
1890.0	0.36000	0.042000	0.26000
1891.0	0.37000	0.077000	0.27000
1892.0	0.37000	0.10500	0.26000
1893.0	0.37000	0.10500	0.25000
1894.0	0.38000	0.11200	0.25000
1895.0	0.38000	0.11200	0.25000
1896.0	0.38000	0.098000	0.25000
1897.0	0.38000	0.070000	0.24000
1898.0	0.39000	0.077000	0.23000
1899.0	0.39000	0.063000	0.23000
1900.0	0.40000	0.056000	0.25000
1901.0	0.41000	0.042000	0.26000
1902.0	0.42000	-2.4850	0.27000
1903.0	0.43000	-0.85400	0.28000
1904.0	0.44000	0.077000	0.27000
1905.0	0.45000	0.049000	0.27000
1906.0	0.46000	0.070000	0.27000
1907.0	0.47000	-0.20300	0.27000
1908.0	0.48000	0.063000	0.27000
1909.0	0.49000	0.063000	0.27000
1910.0	0.50000	0.049000	0.26000
1911.0	0.51000	0.049000	0.27000
1912.0	0.52000	-1.4000	0.29000
1913.0	0.52000	-0.49700	0.29000
1914.0	0.53000	-0.48300	0.30000
1915.0	0.54000	0.12600	0.31000
1916.0	0.55000	0.14700	0.30000
1917.0	0.56000	0.18200	0.30000
1918.0	0.56000	0.17500	0.30000
1919.0	0.57000	0.14700	0.31000
1920.0	0.58000	0.13300	0.31000
