 Year Tse_N Tse_0 Tse_P Ts_N Ts_0 Ts_P
  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.33333E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.66667E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.33333E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.16667E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.83333E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.66667E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.33333E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.16667E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.08333E+00 -2.77778E-04 -4.32099E-04 -9.72223E-04 -2.54601E-06 -2.54601E-06 -2.54601E-06
  1.16667E+00 -5.55556E-04 -8.64198E-04 -1.94445E-03 -9.95894E-06 -9.97560E-06 -9.99227E-06
  1.25000E+00 -8.33333E-04 -1.29630E-03 -2.91667E-03 -2.18085E-05 -2.18890E-05 -2.19697E-05
  1.33333E+00 -1.11111E-03 -1.72840E-03 -3.88889E-03 -3.77259E-05 -3.79426E-05 -3.81605E-05
  1.41667E+00 -1.38889E-03 -2.16049E-03 -4.86111E-03 -5.74120E-05 -5.78581E-05 -5.83082E-05
  1.50000E+00 -1.66667E-03 -2.59259E-03 -5.83333E-03 -8.06166E-05 -8.14029E-05 -8.21987E-05
  1.58333E+00 -1.94444E-03 -3.02469E-03 -6.80555E-03 -1.07126E-04 -1.08378E-04 -1.09649E-04
  1.66667E+00 -2.22222E-03 -3.45679E-03 -7.77778E-03 -1.36754E-04 -1.38611E-04 -1.40502E-04
