 Year Ts CRF
  0.00000E+00  0.00000E+00  0.00000E+00
  1.00000E+00  1.02142E-01 -1.46613E+00
  2.00000E+00  2.26135E-02 -3.56567E-01
  3.00000E+00  1.85242E-02 -1.30294E+00
  4.00000E+00  1.03485E-01 -1.03904E+00
  5.00000E+00  9.36584E-02 -1.49809E+00
  6.00000E+00  3.38348E-01 -2.55127E+00
  7.00000E+00  2.62512E-01 -8.66829E-01
  8.00000E+00  2.29797E-01 -2.18463E+00
  9.00000E+00  2.43622E-01 -1.32220E+00
  1.00000E+01  3.04352E-01 -1.30943E+00
  1.10000E+01  2.63245E-01 -1.02991E+00
  1.20000E+01  2.45453E-01 -1.40203E+00
  1.30000E+01  3.51593E-01 -1.14307E+00
  1.40000E+01  1.98364E-01 -1.37573E-01
  1.50000E+01  3.82233E-01 -1.64062E+00
  1.60000E+01  3.59039E-01 -9.22401E-01
  1.70000E+01  3.78235E-01 -8.01208E-01
  1.80000E+01  3.15369E-01  6.08063E-03
  1.90000E+01  3.42133E-01 -1.85922E+00
  2.00000E+01  3.56293E-01 -1.12369E+00
  2.10000E+01  3.92792E-01 -1.52499E+00
  2.20000E+01  3.40942E-01 -1.41930E-01
  2.30000E+01  3.16864E-01 -5.97572E-01
  2.40000E+01  4.33746E-01 -1.30090E+00
  2.50000E+01  4.22302E-01 -9.34265E-01
  2.60000E+01  3.55377E-01 -1.11652E+00
  2.70000E+01  5.25879E-01 -1.10123E+00
  2.80000E+01  4.28497E-01 -6.81213E-01
  2.90000E+01  5.12878E-01 -1.80268E+00
  3.00000E+01  5.81818E-01 -6.82182E-01
  3.10000E+01  5.03632E-01 -1.14165E+00
  3.20000E+01  6.50482E-01 -1.56115E+00
  3.30000E+01  5.84503E-01 -6.21223E-01
  3.40000E+01  6.93573E-01 -1.51697E+00
  3.50000E+01  8.36334E-01 -2.07563E+00
  3.60000E+01  7.68341E-01 -1.41529E+00
  3.70000E+01  6.68060E-01 -1.15253E+00
  3.80000E+01  7.91626E-01 -2.54008E+00
  3.90000E+01  7.41455E-01 -1.16810E+00
  4.00000E+01  8.29041E-01 -2.15397E+00
  4.10000E+01  7.25739E-01 -7.05330E-01
  4.20000E+01  6.57684E-01 -7.30568E-01
  4.30000E+01  7.55402E-01 -1.94324E+00
  4.40000E+01  8.54767E-01 -2.30655E+00
  4.50000E+01  8.24738E-01 -1.07224E+00
  4.60000E+01  8.12195E-01 -1.75736E+00
  4.70000E+01  9.34143E-01 -2.03146E+00
  4.80000E+01  8.46405E-01 -1.19332E+00
  4.90000E+01  7.99652E-01 -1.29236E+00
  5.00000E+01  1.03543E+00 -1.60624E+00
  5.10000E+01  9.77234E-01 -1.96534E+00
  5.20000E+01  1.16776E+00 -2.85724E+00
  5.30000E+01  1.08444E+00 -1.98508E+00
  5.40000E+01  1.02463E+00 -1.48608E+00
  5.50000E+01  8.86475E-01 -1.08780E+00
  5.60000E+01  9.98627E-01 -1.87385E+00
  5.70000E+01  8.33740E-01 -3.62236E-01
  5.80000E+01  9.43146E-01 -2.63749E+00
  5.90000E+01  1.06232E+00 -2.04498E+00
  6.00000E+01  1.20752E+00 -2.46118E+00
  6.10000E+01  1.08963E+00 -3.52791E-01
  6.20000E+01  1.20047E+00 -2.58839E+00
