 Year Ts CRF
  0.00000E+00  0.00000E+00  0.00000E+00
  1.00000E+00  4.55536E-01  3.91724E-01
  2.00000E+00  6.65985E-01  3.65936E-01
  3.00000E+00  7.76489E-01  3.89603E-01
  4.00000E+00  9.72046E-01  2.14188E-01
  5.00000E+00  9.56879E-01  6.88156E-01
  6.00000E+00  1.09048E+00  1.25153E-01
  7.00000E+00  1.09546E+00  3.89557E-02
  8.00000E+00  1.15979E+00 -1.54480E-01
  9.00000E+00  1.36075E+00 -1.21796E-01
  1.00000E+01  1.25128E+00 -3.99155E-01
  1.10000E+01  1.18481E+00 -1.73157E-01
  1.20000E+01  1.32449E+00 -2.11037E-01
  1.30000E+01  1.42349E+00 -1.00189E-01
  1.40000E+01  1.44278E+00  2.96280E-01
  1.50000E+01  1.37561E+00 -8.72040E-01
  1.60000E+01  1.34061E+00  2.17667E-01
  1.70000E+01  1.30728E+00  3.73230E-01
  1.80000E+01  1.40872E+00 -3.91830E-01
  1.90000E+01  1.50967E+00 -9.59473E-02
  2.00000E+01  1.45688E+00  1.89201E-01
  2.10000E+01  1.35184E+00 -1.02112E-01
  2.20000E+01  1.35059E+00  2.36015E-01
  2.30000E+01  1.46887E+00 -2.44576E-01
  2.40000E+01  1.46979E+00 -3.82950E-01
  2.50000E+01  1.51535E+00  1.71646E-01
  2.60000E+01  1.54419E+00 -4.78218E-01
  2.70000E+01  1.55710E+00  3.06107E-01
  2.80000E+01  1.33344E+00  2.26799E-01
  2.90000E+01  1.33875E+00  1.61194E-01
  3.00000E+01  1.42465E+00  5.59387E-02
  3.10000E+01  1.30594E+00  2.26379E-01
  3.20000E+01  1.30261E+00  4.80072E-01
  3.30000E+01  1.36172E+00 -3.08968E-01
  3.40000E+01  1.38092E+00  3.88641E-02
  3.50000E+01  1.46323E+00 -7.10129E-01
  3.60000E+01  1.53842E+00  9.35059E-02
  3.70000E+01  1.52213E+00  2.73895E-03
  3.80000E+01  1.65213E+00 -2.98203E-01
  3.90000E+01  1.51315E+00 -3.93082E-01
  4.00000E+01  1.46921E+00 -6.15082E-01
  4.10000E+01  1.48639E+00 -2.78419E-01
  4.20000E+01  1.39926E+00  1.79703E-01
  4.30000E+01  1.43405E+00  2.11334E-02
  4.40000E+01  1.52844E+00 -4.92310E-01
  4.50000E+01  1.53525E+00 -3.80341E-01
  4.60000E+01  1.50684E+00  7.00493E-01
  4.70000E+01  1.41467E+00  6.28571E-01
  4.80000E+01  1.46536E+00  1.54289E-01
  4.90000E+01  1.47119E+00 -3.97102E-01
  5.00000E+01  1.55359E+00 -3.75862E-01
  5.10000E+01  1.54681E+00 -1.21407E-01
  5.20000E+01  1.54871E+00  7.47116E-01
  5.30000E+01  1.54724E+00  1.44852E-01
  5.40000E+01  1.40393E+00 -1.38992E-01
  5.50000E+01  1.49725E+00 -9.98390E-01
  5.60000E+01  1.46671E+00  2.84073E-01
  5.70000E+01  1.43680E+00 -1.83777E-01
  5.80000E+01  1.53433E+00  3.59772E-01
  5.90000E+01  1.34174E+00  5.39215E-01
  6.00000E+01  1.28421E+00 -1.17783E-01
  6.10000E+01  1.31564E+00  6.00761E-01
  6.20000E+01  1.40445E+00 -2.25616E-01
  6.30000E+01  1.48096E+00 -2.31636E-01
  6.40000E+01  1.36404E+00  9.03702E-01
  6.50000E+01  1.30655E+00  7.01508E-01
  6.60000E+01  1.52805E+00 -4.76059E-01
  6.70000E+01  1.56241E+00  1.37161E-01
