 Year Ts CRF
  0.00000E+00  0.00000E+00  0.00000E+00
  1.00000E+00 -4.34265E-02  6.36719E-01
  2.00000E+00  8.36182E-03  7.30225E-01
  3.00000E+00 -8.05664E-02  4.77005E-01
  4.00000E+00 -1.38611E-01  6.08719E-01
  5.00000E+00 -1.51550E-01  2.20467E-01
  6.00000E+00 -1.11755E-01 -1.24161E-01
  7.00000E+00 -1.03271E-01  5.42236E-01
  8.00000E+00 -8.96301E-02  8.81897E-01
  9.00000E+00 -1.97754E-01 -2.55127E-02
  1.00000E+01 -2.59857E-01  1.08507E+00
  1.10000E+01 -2.30896E-01  1.07812E+00
  1.20000E+01 -2.71912E-01  9.72473E-01
  1.30000E+01 -3.63586E-01  7.79427E-01
  1.40000E+01 -3.33679E-01  1.90735E-03
  1.50000E+01 -2.21436E-01  3.14583E-01
  1.60000E+01 -2.61993E-01  7.89200E-01
  1.70000E+01 -3.02612E-01  8.72986E-01
  1.80000E+01 -3.69537E-01  1.48659E-01
  1.90000E+01 -2.76611E-01  1.20469E+00
  2.00000E+01 -1.85730E-01  4.24820E-01
  2.10000E+01 -1.38184E-01  5.36476E-01
  2.20000E+01 -1.52100E-01  8.96957E-01
  2.30000E+01 -2.20367E-01  8.44467E-01
  2.40000E+01 -2.61475E-01  6.73843E-01
  2.50000E+01 -2.09473E-01  9.44344E-01
  2.60000E+01 -2.15942E-01  9.87770E-01
  2.70000E+01 -3.24036E-01  8.34976E-01
  2.80000E+01 -3.98346E-01  9.57764E-01
  2.90000E+01 -3.17291E-01  6.93062E-01
  3.00000E+01 -2.07428E-01  2.98470E-01
  3.10000E+01 -1.74927E-01  6.99280E-01
  3.20000E+01 -7.72095E-02  2.09000E-01
  3.30000E+01 -1.72241E-01  1.01371E+00
  3.40000E+01 -1.87561E-01  1.99684E-01
  3.50000E+01 -2.71606E-01  1.06161E+00
  3.60000E+01 -2.82593E-01  4.88739E-02
  3.70000E+01 -2.31567E-01  3.87802E-01
  3.80000E+01 -2.02057E-01  1.40674E+00
  3.90000E+01 -1.67969E-01  3.09860E-01
  4.00000E+01 -2.21252E-01  5.16579E-01
  4.10000E+01 -2.81372E-01  6.62025E-01
  4.20000E+01 -2.29187E-01  1.00572E+00
  4.30000E+01 -2.05811E-01  5.28900E-01
  4.40000E+01 -2.09961E-01  5.89813E-01
  4.50000E+01 -2.36755E-01  2.13089E-02
  4.60000E+01 -2.96814E-01  4.61166E-01
  4.70000E+01 -2.88422E-01  5.54909E-01
  4.80000E+01 -3.11523E-01  4.11011E-01
  4.90000E+01 -2.81677E-01  9.34464E-01
  5.00000E+01 -1.81488E-01  8.75740E-01
