 Year Ts CRF
  0.00000E+00  0.00000E+00  0.00000E+00
  1.00000E+00  1.44562E-01 -2.80037E-01
  2.00000E+00  1.21826E-01  7.02271E-01
  3.00000E+00  2.23846E-01 -2.26654E-01
  4.00000E+00  1.79047E-01  7.51671E-01
  5.00000E+00  3.75366E-03 -1.19553E-01
  6.00000E+00  1.35498E-02  5.48401E-01
  7.00000E+00  1.38214E-01 -1.34547E+00
  8.00000E+00  1.52771E-01  2.91473E-01
  9.00000E+00 -1.61133E-02  5.84648E-01
  1.00000E+01 -8.10547E-02  9.37881E-01
  1.10000E+01  6.62231E-03 -3.52028E-01
  1.20000E+01  1.11572E-01 -7.29523E-02
  1.30000E+01  4.94690E-02 -2.27320E+00
  1.40000E+01 -3.52814E-01 -5.16246E+00
  1.50000E+01 -3.16864E-01 -1.58505E+00
  1.60000E+01 -1.21552E-01 -7.75490E-01
  1.70000E+01 -2.81464E-01  1.75487E+00
  1.80000E+01 -1.32721E-01 -9.34891E-01
  1.90000E+01 -5.33142E-02  5.21042E-01
  2.00000E+01 -2.25494E-01 -2.78925E+00
  2.10000E+01 -1.82831E-01 -1.78031E+00
  2.20000E+01 -1.12183E-01 -7.08923E-01
  2.30000E+01 -1.35132E-01 -4.86397E-01
  2.40000E+01 -1.79749E-02 -4.31137E-01
  2.50000E+01  7.86133E-02 -2.00928E-01
  2.60000E+01  1.61438E-02  5.33203E-01
  2.70000E+01 -7.09229E-02 -4.20547E-01
  2.80000E+01 -1.17889E-01  8.65135E-01
  2.90000E+01 -1.74316E-01  3.38104E-01
  3.00000E+01  1.24512E-02 -8.91190E-01
  3.10000E+01 -5.39856E-02  7.97386E-01
  3.20000E+01 -4.77600E-02 -1.83138E+00
  3.30000E+01 -3.04352E-01 -4.72768E+00
  3.40000E+01 -3.37280E-01 -1.06017E+00
  3.50000E+01 -1.32843E-01 -8.54767E-01
  3.60000E+01 -1.87683E-02 -9.65828E-01
  3.70000E+01 -1.12000E-02 -3.83820E-01
  3.80000E+01 -1.21582E-01  6.29272E-02
  3.90000E+01 -1.15143E-01 -4.74472E-01
  4.00000E+01 -1.26526E-01  2.66502E-01
  4.10000E+01  4.02832E-02 -1.11925E+00
  4.20000E+01  1.00098E-02 -6.84250E-01
  4.30000E+01 -8.87451E-02  9.47159E-01
  4.40000E+01 -4.84314E-02 -6.49269E-01
  4.50000E+01 -3.13416E-02  6.99600E-01
  4.60000E+01 -5.58777E-02 -2.42744E-01
  4.70000E+01  4.26941E-02 -1.55212E-01
  4.80000E+01  2.89917E-03 -1.43478E-01
  4.90000E+01  2.86560E-02 -1.79611E-01
  5.00000E+01  6.21338E-02 -5.83191E-02
  5.10000E+01  1.61255E-01 -6.62033E-01
  5.20000E+01  1.06323E-01  3.08899E-01
  5.30000E+01  1.70624E-01 -8.10188E-01
  5.40000E+01  1.15723E-01 -4.91730E-01
  5.50000E+01  1.10504E-01 -3.40530E-01
  5.60000E+01  1.11420E-01 -2.83340E-01
  5.70000E+01  8.56628E-02 -1.85089E-02
  5.80000E+01  1.46332E-01 -4.13895E-01
  5.90000E+01  6.50024E-03 -6.04706E-02
  6.00000E+01  4.39453E-03 -4.57222E-01
  6.10000E+01  1.05499E-01 -2.54135E-01
  6.20000E+01  9.02710E-02 -1.25366E-01
  6.30000E+01  7.25098E-02  7.24792E-04
  6.40000E+01  2.14569E-01 -8.21304E-01
  6.50000E+01  1.16913E-01 -6.70166E-02
  6.60000E+01  1.82587E-01 -7.59293E-01
  6.70000E+01  1.15387E-01 -3.19672E-02
  6.80000E+01 -4.76990E-02  5.09598E-01
  6.90000E+01  2.38251E-01 -1.02371E+00
  7.00000E+01  2.50458E-01  1.12633E-01
  7.10000E+01  5.20935E-02 -5.85541E-01
  7.20000E+01  1.74103E-01 -6.52237E-02
  7.30000E+01  2.01294E-01 -9.81308E-01
  7.40000E+01  2.63275E-01 -5.72891E-01
  7.50000E+01  2.44720E-01 -6.13388E-01
  7.60000E+01  3.52203E-01 -7.91443E-01
  7.70000E+01  4.48517E-01 -9.59175E-01
  7.80000E+01  1.49658E-01  1.54379E+00
  7.90000E+01  2.18597E-01 -1.30112E+00
  8.00000E+01  3.41156E-01 -3.74329E-01
  8.10000E+01  4.13300E-01 -1.17206E+00
  8.20000E+01  3.60168E-01 -4.44275E-01
  8.30000E+01  2.53387E-01 -6.09718E-01
  8.40000E+01  1.87500E-01  6.24992E-01
  8.50000E+01  2.30927E-01 -3.25653E-01
  8.60000E+01  3.54279E-01 -7.27859E-01
  8.70000E+01  3.13568E-01 -1.76407E-01
  8.80000E+01  4.06708E-01 -1.27606E+00
  8.90000E+01  3.36456E-01  7.88139E-01
  9.00000E+01  1.45416E-01 -1.54305E-01
  9.10000E+01  3.40851E-01 -3.37601E-02
  9.20000E+01  2.69196E-01 -6.44867E-01
  9.30000E+01  2.90375E-01 -3.96616E+00
  9.40000E+01  5.86853E-02 -2.50597E+00
  9.50000E+01  2.06207E-01 -6.73782E-01
  9.60000E+01  2.00653E-01 -1.53397E+00
  9.70000E+01  3.52905E-01 -1.03635E+00
  9.80000E+01  1.64368E-01 -2.74025E-01
  9.90000E+01  2.83783E-01 -1.60096E+00
  1.00000E+02  2.45239E-01 -3.57773E-01
  1.01000E+02  1.72150E-01 -9.83963E-01
  1.02000E+02  4.09149E-01 -1.02747E+00
  1.03000E+02  2.07855E-01 -7.59277E-02
  1.04000E+02  3.46893E-01 -1.42612E+00
  1.05000E+02  1.60431E-01 -6.27594E-01
  1.06000E+02  3.39355E-02 -1.18164E+00
  1.07000E+02  3.64655E-01 -2.03244E+00
  1.08000E+02  4.71649E-01 -1.90283E+00
  1.09000E+02  4.75189E-01 -2.14271E+00
  1.10000E+02  5.55206E-01 -5.58884E-01
  1.11000E+02  5.15747E-01 -1.53519E+00
  1.12000E+02  6.09924E-01 -3.70206E+00
  1.13000E+02  2.02118E-01 -2.90535E+00
  1.14000E+02  3.30383E-01 -2.00022E+00
  1.15000E+02  3.26691E-01 -1.88570E+00
  1.16000E+02  5.73242E-01 -2.42822E+00
  1.17000E+02  5.81299E-01 -1.20725E+00
  1.18000E+02  5.13306E-01 -1.29758E+00
  1.19000E+02  6.68488E-01 -2.38577E+00
  1.20000E+02  7.03278E-01 -1.37373E+00
  1.21000E+02  3.56903E-01 -2.87819E+00
  1.22000E+02  2.02881E-01 -4.79667E+00
  1.23000E+02  4.96155E-01 -3.05309E+00
  1.24000E+02  4.40521E-01 -1.54845E+00
  1.25000E+02  4.93164E-01 -7.44301E-01
  1.26000E+02  6.56647E-01 -1.83026E+00
  1.27000E+02  7.22137E-01 -1.55235E+00
  1.28000E+02  7.60925E-01 -2.09858E+00
  1.29000E+02  7.88910E-01 -1.58392E+00
