 Year Ts CRF
  0.00000E+00  0.00000E+00  0.00000E+00
  1.00000E+00  2.56378E-01 -4.51401E-01
  2.00000E+00  1.73126E-01 -9.04617E-01
  3.00000E+00  2.24640E-01 -6.52870E-01
  4.00000E+00  1.85974E-01 -4.14276E-03
  5.00000E+00  1.59882E-01 -4.01695E-01
  6.00000E+00  1.76392E-01 -4.24042E-01
  7.00000E+00  2.59003E-01 -8.41660E-01
  8.00000E+00  2.55768E-01  1.98944E-01
  9.00000E+00  1.57318E-01  6.09161E-01
  1.00000E+01  1.20514E-01 -8.16750E-01
  1.10000E+01  1.02875E-01  2.88467E-02
  1.20000E+01  4.33960E-02 -1.54991E-01
  1.30000E+01 -1.44043E-02 -2.36366E-01
  1.40000E+01  1.04431E-01 -8.29750E-01
  1.50000E+01  2.36572E-01 -7.82333E-01
  1.60000E+01  2.58209E-01 -1.07568E+00
  1.70000E+01  2.87445E-01 -9.82460E-01
  1.80000E+01  1.57104E-01  6.25153E-01
  1.90000E+01  5.67322E-02  3.95988E-01
  2.00000E+01  5.55420E-02 -3.70377E-01
  2.10000E+01 -1.35193E-02  1.88675E-02
  2.20000E+01  1.49567E-01 -4.75220E-01
  2.30000E+01  1.04095E-01  1.45302E-01
  2.40000E+01  1.37634E-02 -3.90251E-01
  2.50000E+01  1.79993E-01 -2.27898E-01
  2.60000E+01  6.74438E-02 -3.38448E-01
  2.70000E+01  9.15527E-04 -4.43954E-02
  2.80000E+01  5.48096E-02 -6.31462E-01
  2.90000E+01  1.40259E-01 -6.55060E-02
  3.00000E+01  7.06482E-02 -6.83052E-01
  3.10000E+01  2.34589E-01 -5.63591E-01
  3.20000E+01  1.75446E-01 -5.07370E-01
  3.30000E+01  1.72150E-01 -5.38994E-01
  3.40000E+01  2.93549E-01 -1.38736E+00
  3.50000E+01  1.00433E-01 -3.07938E-01
  3.60000E+01  1.88080E-01 -5.39787E-01
  3.70000E+01  1.04584E-01  7.29630E-01
  3.80000E+01  2.23694E-02  2.11395E-01
  3.90000E+01  2.40173E-01 -6.13922E-01
  4.00000E+01  2.24213E-01 -1.29031E+00
  4.10000E+01  3.04962E-01 -1.47380E+00
  4.20000E+01  2.69196E-01 -6.50322E-01
  4.30000E+01  1.43219E-01  2.01279E-01
  4.40000E+01  8.84705E-02 -6.73225E-01
  4.50000E+01  1.32690E-01  1.70876E-01
  4.60000E+01  1.69159E-01 -1.69792E-01
  4.70000E+01  1.32965E-01 -9.32503E-01
  4.80000E+01  1.15723E-01  2.94792E-01
  4.90000E+01  8.19092E-02 -4.03519E-01
