 Year Ts CRF
  0.00000E+00  0.00000E+00  0.00000E+00
  1.00000E+00  1.48926E-02 -9.02885E-01
  2.00000E+00  1.67999E-01 -9.80743E-01
  3.00000E+00  1.95587E-01 -1.66735E+00
  4.00000E+00  2.09961E-02 -2.09282E-01
  5.00000E+00 -1.27289E-01  9.07669E-02
  6.00000E+00  1.63483E-01 -4.94179E-01
  7.00000E+00  1.50330E-01 -9.71245E-01
  8.00000E+00  1.70349E-01 -1.11642E+00
  9.00000E+00  3.17688E-01 -9.06021E-01
  1.00000E+01  1.49750E-01 -4.83223E-01
  1.10000E+01  3.17261E-01 -1.88982E+00
  1.20000E+01  3.21747E-01 -1.67677E+00
  1.30000E+01  6.93970E-02 -1.23703E-01
  1.40000E+01  7.39746E-02 -1.07675E+00
  1.50000E+01  2.77588E-01 -1.82664E+00
  1.60000E+01  3.09174E-01  9.26437E-02
  1.70000E+01 -1.17615E-01  1.25824E-01
  1.80000E+01  9.70764E-02 -7.36946E-01
  1.90000E+01 -6.19507E-02  1.62987E-01
  2.00000E+01 -2.27966E-01  3.65807E-01
  2.10000E+01  1.28937E-01 -1.48582E+00
  2.20000E+01  2.76947E-01 -2.56373E+00
  2.30000E+01 -4.19983E-01 -2.95531E+00
  2.40000E+01 -3.80615E-01 -8.94707E-01
  2.50000E+01 -1.58386E-01 -1.62666E+00
  2.60000E+01 -5.99670E-02 -6.78764E-01
  2.70000E+01 -2.85156E-01 -5.13062E-01
  2.80000E+01 -4.08569E-01  5.65483E-01
  2.90000E+01 -3.32214E-01 -6.79176E-01
  3.00000E+01 -3.54309E-02 -1.33747E+00
  3.10000E+01  7.15332E-02 -3.38867E-01
  3.20000E+01  3.87573E-02 -4.38690E-01
  3.30000E+01  1.01654E-01 -1.28658E+00
  3.40000E+01  2.64038E-01 -9.18175E-01
  3.50000E+01  2.91138E-02 -1.51140E+00
  3.60000E+01 -2.12372E-01 -3.20427E-01
  3.70000E+01 -1.27075E-01 -2.74559E-01
  3.80000E+01 -1.37329E-02 -3.35724E-01
  3.90000E+01  1.89697E-01 -1.73892E+00
  4.00000E+01  8.37708E-02 -1.08389E+00
  4.10000E+01 -1.72424E-02 -1.17490E+00
  4.20000E+01 -2.51617E-01 -1.86890E+00
  4.30000E+01 -2.92053E-01 -2.91245E-01
  4.40000E+01  1.44348E-02 -1.31596E+00
  4.50000E+01  4.76685E-02  1.40930E-01
  4.60000E+01 -4.20532E-02 -1.24171E+00
  4.70000E+01  1.09131E-01 -5.62523E-01
  4.80000E+01 -2.56958E-01  6.99387E-02
  4.90000E+01  9.38416E-02 -8.09547E-01
  5.00000E+01 -5.34058E-02 -5.03365E-01
  5.10000E+01  7.82776E-02 -1.71342E+00
  5.20000E+01  8.41064E-02 -1.03546E+00
  5.30000E+01 -1.70563E-01 -8.31848E-01
  5.40000E+01 -6.67419E-02 -3.65532E-01
  5.50000E+01 -6.42090E-02 -6.22147E-01
  5.60000E+01  1.32355E-01 -9.64699E-01
  5.70000E+01 -2.87781E-02 -6.90765E-01
  5.80000E+01  6.60400E-02 -1.57764E+00
  5.90000E+01  1.04126E-01 -1.40866E+00
  6.00000E+01 -5.88379E-02 -1.67018E+00
  6.10000E+01  1.93512E-01 -1.85036E+00
  6.20000E+01  4.03503E-01 -2.25013E+00
  6.30000E+01  3.51990E-01 -1.83633E+00
  6.40000E+01  2.81128E-01 -2.18107E+00
  6.50000E+01  4.12720E-01 -2.06237E+00
  6.60000E+01  6.67908E-01 -3.37138E+00
  6.70000E+01  5.12360E-01 -2.72315E+00
  6.80000E+01  4.05212E-01 -2.26056E+00
  6.90000E+01  1.87775E-01 -8.95416E-01
  7.00000E+01 -6.07300E-03 -9.59023E-01
  7.10000E+01  3.22449E-01 -2.34647E+00
  7.20000E+01  2.03735E-01 -1.88105E+00
  7.30000E+01  2.55188E-01 -1.73953E+00
  7.40000E+01  1.42517E-01 -1.00417E+00
  7.50000E+01  9.66797E-02 -1.28663E+00
  7.60000E+01  2.02240E-01 -1.97572E+00
  7.70000E+01  4.31335E-01 -1.90784E+00
  7.80000E+01  2.77954E-01 -2.54075E+00
  7.90000E+01  2.59247E-01 -1.97864E+00
  8.00000E+01  1.89575E-01 -1.66380E+00
  8.10000E+01  2.83691E-01 -2.20557E+00
  8.20000E+01  5.46570E-01 -1.92806E+00
  8.30000E+01  2.89673E-01 -1.93423E+00
  8.40000E+01  5.21484E-01 -3.34562E+00
  8.50000E+01  3.79639E-01 -2.31537E+00
  8.60000E+01  5.20264E-01 -3.34843E+00
  8.70000E+01  5.03845E-01 -1.89137E+00
  8.80000E+01  3.82233E-01 -2.06219E+00
  8.90000E+01  1.60461E-01 -1.84769E+00
  9.00000E+01  1.92932E-01 -1.70069E+00
  9.10000E+01  2.71515E-01 -2.82909E+00
  9.20000E+01  3.73962E-01 -2.68262E+00
  9.30000E+01  4.43604E-01 -3.57896E+00
  9.40000E+01  6.82526E-01 -2.41842E+00
  9.50000E+01  5.29785E-01 -2.53693E+00
  9.60000E+01  3.18176E-01 -2.35328E+00
  9.70000E+01  3.58948E-01 -2.85604E+00
  9.80000E+01  6.12000E-01 -3.90771E+00
  9.90000E+01  6.37634E-01 -4.30066E+00
  1.00000E+02  5.89661E-01 -3.74372E+00
  1.01000E+02  4.30084E-01 -3.71734E+00
  1.02000E+02  5.66528E-01 -5.29707E+00
  1.03000E+02  3.46619E-01 -3.44592E+00
  1.04000E+02  3.00293E-02 -3.92245E+00
  1.05000E+02  3.69080E-01 -4.03640E+00
  1.06000E+02  5.50751E-01 -4.59341E+00
  1.07000E+02  7.26715E-01 -4.60264E+00
  1.08000E+02  5.63660E-01 -3.89181E+00
  1.09000E+02  4.02496E-01 -3.98544E+00
  1.10000E+02  4.30298E-01 -3.43124E+00
  1.11000E+02  2.50000E-01 -2.73689E+00
  1.12000E+02  6.53107E-01 -4.36825E+00
  1.13000E+02  8.80646E-01 -4.71990E+00
  1.14000E+02  6.56342E-01 -3.81815E+00
  1.15000E+02  3.91113E-01 -3.95441E+00
  1.16000E+02  5.99976E-01 -4.15765E+00
  1.17000E+02  5.79773E-01 -3.85621E+00
  1.18000E+02  4.99695E-01 -3.89816E+00
  1.19000E+02  7.67090E-01 -5.11085E+00
  1.20000E+02  8.53302E-01 -4.16397E+00
  1.21000E+02  3.27972E-01 -5.80318E+00
  1.22000E+02  3.96271E-01 -5.63016E+00
  1.23000E+02  4.57184E-01 -5.55039E+00
  1.24000E+02  5.06378E-01 -4.46124E+00
  1.25000E+02  4.50073E-01 -4.31280E+00
  1.26000E+02  6.52466E-01 -5.06932E+00
  1.27000E+02  8.37006E-01 -4.32602E+00
  1.28000E+02  7.22900E-01 -4.95382E+00
  1.29000E+02  7.63184E-01 -5.52448E+00
  1.30000E+02  7.55432E-01 -6.11068E+00
  1.31000E+02  1.96350E-01 -7.17985E+00
  1.32000E+02  4.10095E-01 -5.86077E+00
  1.33000E+02  6.94855E-01 -6.04958E+00
  1.34000E+02  8.27698E-01 -4.06393E+00
  1.35000E+02  6.14655E-01 -4.88574E+00
  1.36000E+02  9.28436E-01 -5.28336E+00
  1.37000E+02  1.02734E+00 -4.02775E+00
  1.38000E+02  8.33069E-01 -5.97346E+00
  1.39000E+02  1.04077E+00 -5.42409E+00
